,Month,Year,MaxTemp
0,1,2009,28.629032258064516
1,1,2010,27.509677419354844
2,1,2011,26.500000000000004
3,1,2012,27.390322580645165
4,1,2013,27.29677419354839
5,1,2014,28.56774193548387
6,2,2009,28.09642857142857
7,2,2010,28.171428571428574
8,2,2011,25.267857142857142
9,2,2012,26.9551724137931
10,2,2014,28.35714285714285
11,3,2009,24.348387096774196
12,3,2010,26.200000000000006
13,3,2011,23.474193548387095
14,3,2012,23.651612903225814
15,3,2013,27.564516129032253
16,3,2014,25.419354838709676
17,4,2009,21.003333333333334
18,4,2010,22.89333333333333
19,4,2012,21.93
20,4,2013,21.263333333333332
21,4,2014,21.139999999999997
22,5,2009,17.91290322580645
23,5,2010,18.219354838709684
24,5,2011,16.31612903225807
25,5,2012,16.958064516129035
26,5,2013,18.067741935483873
27,5,2014,19.280645161290323
28,6,2009,15.553333333333335
29,6,2010,14.646666666666667
30,6,2011,15.803333333333331
31,6,2012,14.43666666666667
32,6,2013,15.426666666666668
33,6,2014,15.756666666666668
34,7,2009,15.167741935483873
35,7,2010,14.609677419354835
36,7,2011,14.587096774193547
37,7,2012,14.900000000000002
38,7,2013,15.874193548387096
39,7,2014,14.667741935483871
40,8,2009,16.874193548387098
41,8,2010,14.693548387096776
42,8,2011,17.370967741935484
43,8,2012,15.241935483870968
44,8,2013,16.51935483870968
45,8,2014,16.241935483870964
46,9,2009,18.57333333333333
47,9,2010,16.533333333333335
48,9,2011,19.399999999999995
49,9,2012,18.563333333333333
50,9,2013,20.063333333333336
51,9,2014,19.333333333333336
52,10,2009,19.93225806451613
53,10,2010,20.6516129032258
54,10,2011,20.816129032258065
55,10,2012,20.75483870967742
56,10,2013,19.83870967741936
57,10,2014,22.64516129032258
58,11,2009,27.133333333333326
59,11,2010,23.193333333333335
60,11,2011,24.486666666666665
61,11,2012,23.303333333333338
62,11,2013,22.02
63,11,2014,23.939999999999998
64,12,2009,25.945161290322588
65,12,2010,24.783870967741937
66,12,2011,25.109677419354846
67,12,2013,24.696774193548386
68,12,2014,25.048387096774196
